Gene_id,Version,Gene_names,Uniprot_id,TF
Cre14.g617900,C. reinhardtii v5.6,RPL35,A8HNX3,
Cre07.g319701,C. reinhardtii v5.6,Cre07.g319701,A0A2K3DIZ0,GATA
Cre14.g620600,C. reinhardtii v5.6,PHC2,A0A2K3CXY7,
Cre06.g268600,C. reinhardtii v5.6,NAB1,Q8GV23,
Cre13.g587050,C. reinhardtii v5.6,ERF1,Q8VZZ5,
Cre17.g735200,C. reinhardtii v5.6,KIN1-2,A0A2K3CRC5,
Cre02.g118550,C. reinhardtii v5.6,Cre02.g118550,A0A2K3E3M2,
Cre09.g388352,C. reinhardtii v5.6,Cre09.g388352,A0A2K3DDN9,
Cre16.g689650,C. reinhardtii v5.6,ATG8,A8JB85,
Cre03.g192050,C. reinhardtii v5.6,FTR1,Q8LL16,
Cre07.g321800,C. reinhardtii v5.6,Cre07.g321800,A8I775,
Cre03.g175600,C. reinhardtii v5.6,Cre03.g175600,A0A2K3DXC9,
Cre01.g004600,C. reinhardtii v5.6,RWP12,A0A2K3E4Z7,Nin-like
Cre02.g097400,C. reinhardtii v5.6,EIF5A,A8I297,
Cre10.g419450,C. reinhardtii v5.6,Cre10.g419450,A0A2K3D924,
Cre02.g106450,C. reinhardtii v5.6,Cre02.g106450,A0A2K3E2N1,
Cre01.g004750,C. reinhardtii v5.6,Cre01.g004750,A0A2K3E4Y6,
Cre02.g103550,C. reinhardtii v5.6,EIF1A,A8I4H4,
Cre17.g723750,C. reinhardtii v5.6,Cre17.g723750,A0A2K3CQG7,
Cre09.g387171,C. reinhardtii v5.6,RHM1,A2PZD2,
Cre09.g408950,C. reinhardtii v5.6,Cre09.g408950,A0A2K3DFH4,
Cre14.g630859,C. reinhardtii v5.6,HID1,A0A2K3CYQ5,
Cre04.g216850,C. reinhardtii v5.6,TUA2,,
Cre01.g048650,C. reinhardtii v5.6,Cre01.g048650,A0A2K3E7X0,
Cre02.g077300,C. reinhardtii v5.6,NOP1,A8IA86,
Cre12.g514050,C. reinhardtii v5.6,GSF1,A0A2K3D3L7,
Cre12.g530400,C. reinhardtii v5.6,IRT1,A0A2K3D4S5,
Cre03.g207050,C. reinhardtii v5.6,RPL29,A8IX67,
Cre05.g247851,C. reinhardtii v5.6,CEP2,A8I5R9,
Cre06.g278143,C. reinhardtii v5.6,GAE,A8J944,
Cre12.g496400,C. reinhardtii v5.6,Cre12.g496400,A0A2K3D3K7,
Cre02.g112600,C. reinhardtii v5.6,Cre02.g112600,A0A2K3E328,
Cre09.g393700,C. reinhardtii v5.6,MMP3,A8IZV1,
Cre02.g080600,C. reinhardtii v5.6,BIP2,A0A2K3E0I1,
